"hours_since_inj","tch_avs","tch_ses","trt","fen","lps","meanANDse","meanMINUSse"
20,-0.497518249496107,0.321777736358941,"Y_Y","Y","Y",-0.175740513137167,-0.819295985855048
20.5,-1.13073120303161,0.519235172843694,"N_N","N","N",-0.611496030187915,-1.6499663758753
20.5,-0.715171037172684,0.379967964613086,"N_Y","N","Y",-0.335203072559598,-1.09513900178577
20.5,-0.647690543845234,0.551396229547739,"Y_N","Y","N",-0.0962943142974947,-1.19908677339297
20.5,0.0838175388828649,0.385459320817982,"Y_Y","Y","Y",0.469276859700847,-0.301641781935117
21,-1.02870717754785,0.343311100435302,"N_N","N","N",-0.685396077112544,-1.37201827798315
21,-0.522785735888492,0.356905577560477,"N_Y","N","Y",-0.165880158328015,-0.879691313448969
21,-1.29734201765944,0.209645580287697,"Y_N","Y","N",-1.08769643737174,-1.50698759794714
21,0.476523771629166,0.391638822592993,"Y_Y","Y","Y",0.86816259422216,0.0848849490361727
21.5,-0.951336905094649,0.339820761776013,"N_N","N","N",-0.611516143318636,-1.29115766687066
21.5,-0.345869604622259,0.261521559062927,"N_Y","N","Y",-0.0843480455593318,-0.607391163685186
21.5,-0.676190690414764,0.246111550380789,"Y_N","Y","N",-0.430079140033975,-0.922302240795553
21.5,0.654533604861594,0.443115673027489,"Y_Y","Y","Y",1.09764927788908,0.211417931834105
22,-0.25863415020482,0.303657316905793,"N_N","N","N",0.0450231667009734,-0.562291467110613
22,-0.0370778343469537,0.223661099180305,"N_Y","N","Y",0.186583264833351,-0.260738933527258
22,-0.230277485888189,0.287226839532323,"Y_N","Y","N",0.0569493536441345,-0.517504325420512
22,0.883146425021544,0.381632094867157,"Y_Y","Y","Y",1.2647785198887,0.501514330154387
22.5,0.0960252450621226,0.341462404508621,"N_N","N","N",0.437487649570743,-0.245437159446498
22.5,-0.0540733649224805,0.234303967398791,"N_Y","N","Y",0.180230602476311,-0.288377332321272
22.5,-0.0627033614357172,0.172810768532388,"Y_N","Y","N",0.110107407096671,-0.235514129968106
22.5,0.950686309950406,0.388628141718729,"Y_Y","Y","Y",1.33931445166914,0.562058168231677
23,0.338005586468288,0.179231245090569,"N_N","N","N",0.517236831558857,0.158774341377719
23,0.172971309155719,0.228122416359246,"N_Y","N","Y",0.401093725514965,-0.055151107203527
23,-0.38376836648441,0.268665925193243,"Y_N","Y","N",-0.115102441291166,-0.652434291677653
23,0.723590966105766,0.341872096561169,"Y_Y","Y","Y",1.06546306266694,0.381718869544597
23.5,0.332064916572411,0.131896184430934,"N_N","N","N",0.463961101003345,0.200168732141477
23.5,0.12344179271911,0.257912374814827,"N_Y","N","Y",0.381354167533937,-0.134470582095718
23.5,-0.110870022056693,0.233666739931187,"Y_N","Y","N",0.122796717874493,-0.34453676198788
23.5,0.776772443952371,0.304526578593625,"Y_Y","Y","Y",1.081299022546,0.472245865358747
24,0.576888411930838,0.173151991718066,"N_N","N","N",0.750040403648905,0.403736420212772
24,0.246815980709298,0.240560767445785,"N_Y","N","Y",0.487376748155083,0.00625521326351233
24,0.428829917109541,0.368245547218424,"Y_N","Y","N",0.797075464327965,0.0605843698911171
24,0.901738413422505,0.299839503875192,"Y_Y","Y","Y",1.2015779172977,0.601898909547313
